tconst	directors	writers
tt9876992	\N	\N
tt9876994	nm10521132	nm10521132
tt9876996	\N	\N
tt9876998	nm9163913	nm9163913
tt9877000	\N	\N
tt9877002	\N	\N
tt9877004	\N	\N
tt9877006	\N	\N
tt9877008	\N	\N
tt9877010	\N	\N
tt9877012	\N	\N
tt9877014	\N	\N
tt9877016	\N	\N
tt9877018	\N	\N
tt9877020	nm0694382	nm0193094,nm2667857
tt9877022	\N	\N
tt9877026	\N	\N
tt9877028	nm8164738,nm10468826	nm10484359,nm2215965,nm10468826
tt9877030	\N	\N
tt9877032	\N	\N
tt9877034	\N	\N
tt9877038	\N	\N
tt9877040	\N	\N
tt9877042	nm9163913	nm9163913
tt9877044	\N	\N
tt9877046	\N	\N
tt9877048	\N	\N
tt9877050	\N	\N
tt9877052	\N	\N
tt9877054	\N	\N
tt9877056	\N	\N
tt9877058	nm6168642,nm6168641,nm10374390	nm6168642,nm6168641,nm10374390
tt9877060	\N	\N
tt9877062	\N	\N
tt9877064	\N	\N
tt9877066	\N	\N
tt9877068	nm10521208	nm10521208
tt9877070	\N	\N
tt9877072	nm6391223	nm6391223,nm10521162
tt9877074	\N	\N
tt9877076	\N	\N
tt9877078	\N	\N
tt9877080	\N	\N
tt9877082	\N	\N
tt9877084	nm10348507	nm10348507
tt9877086	\N	\N
tt9877088	\N	\N
tt9877090	\N	\N
tt9877092	nm0087496	\N
tt9877094	\N	\N
tt9877096	\N	\N
tt9877098	\N	\N
tt9877100	\N	\N
tt9877102	\N	\N
tt9877104	\N	\N
tt9877106	\N	\N
tt9877108	\N	\N
tt9877110	\N	\N
tt9877112	\N	\N
tt9877114	\N	\N
tt9877116	\N	\N
tt9877118	\N	\N
tt9877120	\N	\N
tt9877122	\N	\N
tt9877124	\N	\N
tt9877126	\N	\N
tt9877128	\N	\N
tt9877130	\N	\N
tt9877132	nm10254718	nm10254718
tt9877138	nm1210118	nm12084193,nm1210118
tt9877140	\N	\N
tt9877142	\N	\N
tt9877144	\N	\N
tt9877146	\N	\N
tt9877148	\N	\N
tt9877150	\N	\N
tt9877152	\N	\N
tt9877154	\N	\N
tt9877156	\N	\N
tt9877158	nm0945487	nm3205243
tt9877160	\N	\N
tt9877162	\N	\N
tt9877164	\N	\N
tt9877166	nm10264757	nm10264757
tt9877170	nm1887138	nm2748159,nm8457764,nm1887138
tt9877172	\N	\N
tt9877174	\N	\N
tt9877176	nm0379775	nm2412251
tt9877178	nm1001399	\N
tt9877180	\N	\N
tt9877182	\N	\N
tt9877184	\N	\N
tt9877186	nm6017132	\N
tt9877188	nm1773594	\N
tt9877190	\N	\N
tt9877194	\N	\N
tt9877196	\N	\N
tt9877198	\N	\N
tt9877204	\N	\N
tt9877208	\N	\N
tt9877210	\N	\N
tt9877212	\N	\N
tt9877214	\N	\N
tt9877216	\N	\N
tt9877218	\N	\N
tt9877220	\N	\N
tt9877222	\N	\N
tt9877224	nm0425166	nm1122050,nm1545348,nm0110828,nm1107458,nm1431618,nm0752498,nm1010102,nm0616712,nm2534753,nm0191612,nm1141830,nm1047700,nm1253154,nm0996693
tt9877226	\N	\N
tt9877228	\N	\N
tt9877230	nm5416737	\N
tt9877232	nm9103886	\N
tt9877234	\N	\N
tt9877236	\N	\N
tt9877238	\N	\N
tt9877240	\N	\N
tt9877242	\N	\N
tt9877244	\N	\N
tt9877246	\N	\N
tt9877248	nm9004526	\N
tt9877250	\N	\N
tt9877252	\N	\N
tt9877254	\N	\N
tt9877256	\N	\N
tt9877258	\N	\N
tt9877260	\N	\N
tt9877262	\N	\N
tt9877264	\N	\N
tt9877266	nm1505638	\N
tt9877268	nm4028954	nm3166161,nm4033632
tt9877270	\N	\N
tt9877274	nm1001088	nm5227911
tt9877276	\N	\N
tt9877278	\N	\N
tt9877280	\N	\N
tt9877282	nm0994300	nm0632803
tt9877284	nm10521208	nm10521208
tt9877286	\N	\N
tt9877288	\N	\N
tt9877290	\N	\N
tt9877292	\N	\N
tt9877294	nm9342464	nm9342464
tt9877296	nm10521273	nm10521273
tt9877298	\N	\N
tt9877300	nm10521285	\N
tt9877302	nm10521286	\N
tt9877304	\N	\N
tt9877306	nm10521289	\N
tt9877308	\N	\N
tt9877310	nm10233901	\N
tt9877312	nm2636405	nm2636405
tt9877314	\N	\N
tt9877316	\N	\N
tt9877318	\N	\N
tt9877320	\N	\N
tt9877322	nm8000779	\N
tt9877324	\N	\N
tt9877326	nm4515123	nm4515123
tt9877328	nm10436661	nm10436661
tt9877332	\N	\N
tt9877334	nm7216541	nm7216541
tt9877336	nm0999515	\N
tt9877340	nm0430485	nm11028494
tt9877344	\N	\N
tt9877348	nm10051394	\N
tt9877350	\N	nm3941854,nm3892776,nm1893344,nm6157906,nm5099100
tt9877352	nm0696296	nm0633202
tt9877354	\N	nm3941854,nm3892776,nm1893344,nm6157906,nm5099100
tt9877356	\N	nm3941854,nm3892776,nm6157906,nm5099100
tt9877358	nm1232709	\N
tt9877362	\N	\N
tt9877364	nm6442602	\N
tt9877366	nm10521363	\N
tt9877368	nm10521368	nm4721431
tt9877374	nm0696296	nm0642683,nm1207587,nm1398688,nm0108337,nm0108338,nm0908607,nm1206428,nm1802877,nm1114256,nm0633202
tt9877378	\N	\N
tt9877380	\N	\N
tt9877382	\N	\N
tt9877384	\N	\N
tt9877386	\N	\N
tt9877388	\N	\N
tt9877390	\N	\N
tt9877392	\N	\N
tt9877394	\N	\N
tt9877396	\N	\N
tt9877398	\N	\N
tt9877400	\N	\N
tt9877402	\N	\N
tt9877404	\N	\N
tt9877406	\N	\N
tt9877408	\N	\N
tt9877410	\N	\N
tt9877412	\N	\N
tt9877414	\N	\N
tt9877416	\N	\N
tt9877418	nm10521380	nm10521381
tt9877420	\N	\N
tt9877422	\N	\N
tt9877424	\N	\N
tt9877426	\N	\N
tt9877428	\N	\N
tt9877430	\N	\N
tt9877432	\N	\N
tt9877434	\N	\N
tt9877436	\N	\N
tt9877438	\N	\N
tt9877440	\N	\N
tt9877442	\N	\N
tt9877446	\N	\N
tt9877448	\N	\N
tt9877450	\N	\N
tt9877452	\N	\N
tt9877454	\N	\N
tt9877456	\N	\N
tt9877458	\N	\N
tt9877460	nm10521383	nm10521386,nm10521385,nm10521384
tt9877462	\N	\N
tt9877466	\N	\N
tt9877468	\N	\N
tt9877470	\N	\N
tt9877472	\N	\N
tt9877474	\N	\N
tt9877476	\N	\N
tt9877478	\N	\N
tt9877482	\N	\N
tt9877484	\N	\N
tt9877488	\N	\N
tt9877490	\N	\N
tt9877492	\N	\N
tt9877494	\N	\N
tt9877496	\N	\N
tt9877498	\N	\N
tt9877500	\N	\N
tt9877502	\N	\N
tt9877504	\N	\N
tt9877506	nm1968777	nm0702560,nm5355370,nm3221923,nm9880527,nm5029992
tt9877508	\N	\N
tt9877510	\N	\N
tt9877512	\N	\N
tt9877514	\N	\N
tt9877516	\N	\N
tt9877518	nm8963105	nm8963105
tt9877522	nm0591165	nm0642683,nm1207587,nm0137886,nm1206428,nm0108337,nm0108338,nm0325029,nm0696891,nm0633202
tt9877524	nm7664430	nm7664430,nm8873209
tt9877526	\N	nm3941854,nm3892776,nm6157906,nm5099100
tt9877530	nm5480633	nm5480633,nm3937020
tt9877532	nm10521425	nm10521425
tt9877536	\N	\N
tt9877538	\N	\N
tt9877540	\N	\N
tt9877542	\N	nm2052035
tt9877544	\N	\N
tt9877548	\N	\N
tt9877550	\N	\N
tt9877552	\N	\N
tt9877554	\N	\N
tt9877556	\N	\N
tt9877558	\N	\N
tt9877560	\N	\N
tt9877562	\N	\N
tt9877564	\N	\N
tt9877566	\N	\N
tt9877568	\N	\N
tt9877570	\N	\N
tt9877572	\N	\N
tt9877574	\N	\N
tt9877576	\N	\N
tt9877578	\N	\N
tt9877580	\N	\N
tt9877582	\N	\N
tt9877584	\N	\N
tt9877586	\N	\N
tt9877588	nm7664433	nm7664430,nm7664433
tt9877594	nm10521454	nm10521454
tt9877596	\N	\N
tt9877600	\N	\N
tt9877602	\N	\N
tt9877604	\N	\N
tt9877606	\N	\N
tt9877608	\N	\N
tt9877610	\N	\N
tt9877612	\N	\N
tt9877614	\N	\N
tt9877616	\N	\N
tt9877618	\N	\N
tt9877620	\N	\N
tt9877622	\N	\N
tt9877624	\N	\N
tt9877626	\N	\N
tt9877628	\N	\N
tt9877630	\N	\N
tt9877632	\N	\N
tt9877634	\N	\N
tt9877636	\N	\N
tt9877638	\N	\N
tt9877640	\N	\N
tt9877642	nm3462989	\N
tt9877644	\N	\N
tt9877646	\N	\N
tt9877648	nm10521461	nm5301292
tt9877654	\N	\N
tt9877658	nm9975057	nm9975057
tt9877662	\N	\N
tt9877664	nm4860666	nm4860666
tt9877668	nm3462989	nm3462989
tt9877670	\N	\N
tt9877672	\N	\N
tt9877674	\N	\N
tt9877676	\N	\N
tt9877678	\N	\N
tt9877680	\N	\N
tt9877682	\N	\N
tt9877684	\N	\N
tt9877686	\N	\N
tt9877688	\N	\N
tt9877690	\N	\N
tt9877692	\N	\N
tt9877694	\N	\N
tt9877696	\N	\N
tt9877698	\N	\N
tt9877700	\N	\N
tt9877702	\N	\N
tt9877704	\N	\N
tt9877706	\N	\N
tt9877708	\N	\N
tt9877710	\N	\N
tt9877712	\N	\N
tt9877714	\N	\N
tt9877716	\N	\N
tt9877718	\N	\N
tt9877720	\N	\N
tt9877722	\N	\N
tt9877724	nm7055865	\N
tt9877726	\N	\N
tt9877728	\N	\N
tt9877730	\N	\N
tt9877732	\N	\N
tt9877734	\N	\N
tt9877736	\N	\N
tt9877738	\N	\N
tt9877740	\N	\N
tt9877742	\N	\N
tt9877744	\N	\N
tt9877746	\N	\N
tt9877748	\N	\N
tt9877750	\N	\N
tt9877752	\N	\N
tt9877754	\N	\N
tt9877756	\N	\N
tt9877758	\N	\N
tt9877760	\N	\N
tt9877762	\N	\N
tt9877764	\N	\N
tt9877766	\N	\N
tt9877768	\N	\N
tt9877770	\N	\N
tt9877772	\N	\N
tt9877774	\N	\N
tt9877776	\N	\N
tt9877778	\N	\N
tt9877780	\N	\N
tt9877782	\N	\N
tt9877784	\N	\N
tt9877786	\N	\N
tt9877788	\N	\N
tt9877790	\N	\N
tt9877792	\N	\N
tt9877794	\N	\N
tt9877796	\N	\N
tt9877798	\N	\N
tt9877800	\N	\N
tt9877802	\N	\N
tt9877804	\N	\N
tt9877806	\N	\N
tt9877808	\N	\N
tt9877810	\N	\N
tt9877812	\N	nm10022062
tt9877814	nm1818484	nm11265157,nm3561109,nm15585960
tt9877820	\N	\N
tt9877822	nm10478494,nm6313649	nm5898613
tt9877826	\N	\N
tt9877828	\N	nm0086277,nm0428243
tt9877830	nm3462989	\N
tt9877834	nm7056214,nm5479754	nm1763576,nm1098598
tt9877836	nm3853626	nm6948651,nm3853626
tt9877838	\N	\N
tt9877840	nm3774181	nm3862834,nm1727367,nm8178166,nm0507343,nm3774181
tt9877842	nm10478494,nm6313649	nm5898613
tt9877844	\N	\N
tt9877846	nm10521526	nm10521531,nm10521530
tt9877848	nm5460792,nm7233619,nm12507433,nm15207999	nm5460792,nm7053950,nm7053951,nm3806212,nm1394917
tt9877850	nm7846263	nm7960400,nm2266011
tt9877852	nm3462989	nm1219277
tt9877854	\N	\N
tt9877856	nm10521555	nm10521555
tt9877858	nm0872634	nm0858912,nm4538122
tt9877860	nm0872634	nm0858912,nm4538122
tt9877862	nm7478784	nm8126550,nm5199994,nm6326609,nm5612873,nm3985704,nm7152406
tt9877864	nm3233365	nm3233365,nm8224136
tt9877866	nm3233365	nm3233365,nm8224136
tt9877868	nm3233365	nm3233365,nm8224136
tt9877870	\N	\N
tt9877872	\N	\N
tt9877876	\N	\N
tt9877878	\N	\N
tt9877880	nm10521570	nm10521570
tt9877882	\N	\N
tt9877884	\N	\N
tt9877886	\N	\N
tt9877888	\N	\N
tt9877890	\N	\N
tt9877892	\N	\N
tt9877894	\N	\N
tt9877896	\N	\N
tt9877898	\N	\N
tt9877900	\N	\N
tt9877902	\N	\N
tt9877904	\N	\N
tt9877906	\N	\N
tt9877908	\N	\N
tt9877910	\N	\N
tt9877912	\N	\N
tt9877914	\N	\N
tt9877916	\N	\N
tt9877918	\N	\N
tt9877920	\N	\N
tt9877922	\N	\N
tt9877924	\N	\N
tt9877926	\N	\N
tt9877928	\N	\N
tt9877930	\N	\N
tt9877932	\N	\N
tt9877934	\N	\N
tt9877936	\N	\N
tt9877940	\N	\N
tt9877942	\N	\N
tt9877944	\N	\N
tt9877946	\N	\N
tt9877948	\N	\N
tt9877950	\N	\N
tt9877952	\N	\N
tt9877954	\N	\N
tt9877958	nm1069989	nm0734472,nm0298188,nm0476064,nm1114909,nm0525886,nm3278619,nm1257804,nm9005172,nm0776206
tt9877960	nm10306342	\N
tt9877962	nm3462989	\N
tt9877964	nm6083792	\N
tt9877968	nm10521590	nm10521590
tt9877974	nm0567993	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm0956789,nm0774498,nm0068347,nm0068589
tt9877976	nm0251732	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm0174585,nm0256913,nm0068347,nm0068589
tt9877978	nm0719511	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm1003809,nm0063686,nm0068347,nm0068589
tt9877980	nm0567993	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm1014167,nm1042591,nm0068347,nm0068589
tt9877982	nm0567993	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm1018524,nm0774498,nm0068347,nm0068589
tt9877984	nm0251732	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm0174585,nm1020893,nm0068347,nm0068589
tt9877986	\N	nm0068347,nm0068589
tt9877988	nm0719511	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm1003809,nm1042591,nm0068347,nm0068589
tt9877990	nm0567993	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm0256913,nm1014167,nm0068347,nm0068589
tt9877994	nm0719511	nm1104059,nm2196025,nm1665603,nm7724849,nm0166662,nm0174585,nm1042591,nm0068347,nm0068589
tt9877996	nm3462989	\N
tt9878002	nm10366970	nm10366971
tt9878004	\N	\N
tt9878006	nm3462989	\N
tt9878010	nm1140345	nm0223294,nm0507714
tt9878012	nm10521600	nm7162285,nm9583347,nm10521605,nm10521604
tt9878014	nm9413291	\N
tt9878024	nm8278833	nm8278833
tt9878026	nm7953622	\N
tt9878028	nm3462989	\N
tt9878032	nm10518386	nm10518386
tt9878038	nm2413148,nm8703808,nm10521612,nm5137124	nm4508705,nm8041473
tt9878040	nm0790723	nm0004981,nm0430781,nm0444517,nm0894890,nm5968111,nm0029632,nm10055966,nm1712268
tt9878042	\N	\N
tt9878044	nm3927778	nm10521620
tt9878046	nm3462989	\N
tt9878048	\N	\N
tt9878050	nm1304857	nm0004981,nm0430781,nm2547384,nm5968111,nm0029632,nm10055966,nm1712268
tt9878052	\N	\N
tt9878054	nm3233365	nm3233365
tt9878056	\N	\N
tt9878058	nm1403481	nm0004981,nm0430781,nm5968111,nm0029632,nm10055966,nm1712268
tt9878060	\N	\N
tt9878062	\N	\N
tt9878064	nm1902132	nm2724080,nm2146818
tt9878066	\N	\N
tt9878068	\N	\N
tt9878070	nm9163913	nm9163913
tt9878072	nm1434884,nm4537073	nm0004981,nm0430781,nm0644021,nm5968111,nm0029632,nm10055966,nm1712268
tt9878074	\N	\N
tt9878076	nm10521627	\N
tt9878078	\N	\N
tt9878080	nm0616261	nm0004981,nm0430781,nm5968111,nm0029632,nm10055966,nm1712268
tt9878082	\N	\N
tt9878084	\N	\N
tt9878086	\N	\N
tt9878088	nm0534041,nm0616742	nm0004981,nm0430781,nm2497884,nm1712268,nm5968111,nm0029632,nm10055966
tt9878090	\N	\N
tt9878092	\N	\N
tt9878094	\N	\N
tt9878096	\N	\N
tt9878098	nm1401752	nm0004981,nm0430781,nm2830469,nm5968111,nm0029632,nm10055966,nm1712268
tt9878100	nm9163913	nm9163913
tt9878102	\N	\N
tt9878104	\N	\N
tt9878106	\N	\N
tt9878108	\N	\N
tt9878110	\N	\N
tt9878112	\N	\N
tt9878114	\N	\N
tt9878116	\N	\N
tt9878118	\N	\N
tt9878120	\N	\N
tt9878122	\N	\N
tt9878124	\N	\N
tt9878126	\N	\N
tt9878128	\N	\N
tt9878130	nm0790723	nm0004981,nm0430781,nm10055966,nm5968111,nm0029632,nm1712268
tt9878132	\N	\N
tt9878134	nm5094395	nm10521646,nm10521645
tt9878138	\N	\N
tt9878142	\N	\N
tt9878144	nm1304857	nm0004981,nm0430781,nm0894890,nm5968111,nm0029632,nm10055966,nm1712268
tt9878146	nm9163913	nm9163913
tt9878148	\N	\N
tt9878150	nm0701603	nm3896519,nm0499921,nm3326932
tt9878152	\N	\N
tt9878154	\N	\N
tt9878156	\N	\N
tt9878158	\N	\N
tt9878160	nm16665599,nm13802344	\N
tt9878162	\N	\N
tt9878164	\N	\N
tt9878166	nm9163913	nm9163913
tt9878168	\N	\N
tt9878170	\N	\N
tt9878172	\N	\N
tt9878174	\N	\N
tt9878176	\N	\N
tt9878178	\N	\N
tt9878180	\N	\N
tt9878182	\N	\N
tt9878184	\N	\N
tt9878186	\N	\N
tt9878188	\N	\N
tt9878190	\N	\N
tt9878192	\N	\N
tt9878194	\N	\N
tt9878196	\N	\N
tt9878198	\N	\N
tt9878200	nm9163913	\N
tt9878202	\N	\N
tt9878204	\N	\N
tt9878206	\N	\N
tt9878210	\N	\N
tt9878212	\N	\N
tt9878216	nm1708756	nm1708756
tt9878218	\N	\N
tt9878220	\N	\N
tt9878222	nm10514659	nm10514659
tt9878224	\N	\N
tt9878226	\N	\N
tt9878228	\N	\N
tt9878230	\N	\N
tt9878232	nm9377204	nm9377204
tt9878234	\N	\N
tt9878236	nm9163913	\N
tt9878238	\N	\N
tt9878240	\N	\N
tt9878242	nm4138638	nm4138638
tt9878244	\N	\N
tt9878246	nm5234965,nm5891302,nm9374886,nm6141597	nm5317957,nm6375147,nm5234965
tt9878248	\N	\N
tt9878250	\N	\N
tt9878252	\N	\N
tt9878254	nm10499407,nm10499408	nm10499407,nm10499408
tt9878256	\N	\N
tt9878258	\N	\N
tt9878260	\N	\N
tt9878262	\N	\N
tt9878264	\N	\N
tt9878266	\N	\N
tt9878268	\N	\N
tt9878270	\N	\N
tt9878272	\N	\N
tt9878274	nm1980395	nm4033885,nm3211813,nm4781968,nm4632784,nm3029839,nm4546304,nm7385884,nm8475475
tt9878276	nm8589554,nm0184761	nm0549265
tt9878278	\N	\N
tt9878280	nm10326434,nm10326433	nm10326434,nm10326433
tt9878282	\N	\N
tt9878284	nm3102153	nm3102153
tt9878286	\N	\N
tt9878288	\N	\N
tt9878290	\N	\N
tt9878292	\N	\N
tt9878294	nm1980395	nm4033885,nm4781968,nm4632784,nm3029839,nm4546304,nm7385884,nm8475475
tt9878296	\N	\N
tt9878298	nm4742559	nm4033885,nm4781968,nm4632784,nm3029839,nm4546304,nm7385884,nm8475475
tt9878300	\N	\N
tt9878302	\N	\N
tt9878304	\N	\N
tt9878306	\N	\N
tt9878308	nm4742559	nm4033885,nm4781968,nm4632784,nm3029839,nm4546304,nm7385884,nm8475475
tt9878310	nm5234965	nm7733039
tt9878314	nm2156362	nm2156362
tt9878316	nm8066638	nm8066638,nm0744178,nm8066639
tt9878322	\N	nm7647769
tt9878328	nm7057559	\N
tt9878330	\N	\N
tt9878334	nm3462989	nm10521689
tt9878338	nm3462989	nm10521689
tt9878340	nm4195982	nm6568128,nm4195982
tt9878342	nm1930056	nm1930056
tt9878344	nm1930056	nm1930056
tt9878346	nm1930056	nm1930056
tt9878348	nm3462989	\N
tt9878350	nm1930056	nm1930056
tt9878352	\N	\N
tt9878354	\N	\N
tt9878356	nm1597575	\N
tt9878362	nm3462989	nm3462989
tt9878364	nm10521712	\N
tt9878366	nm9357710	nm1278118
tt9878368	nm0182500,nm0968735	nm0182500
tt9878370	\N	\N
tt9878372	\N	\N
tt9878374	nm3462989	nm3462989
tt9878376	\N	\N
tt9878378	\N	\N
tt9878380	\N	\N
tt9878382	\N	\N
tt9878384	\N	\N
tt9878386	\N	\N
tt9878388	\N	\N
tt9878390	\N	\N
tt9878392	\N	\N
tt9878396	nm3462989	nm3462989
tt9878398	\N	\N
tt9878400	\N	\N
tt9878402	nm0779228	nm1051121
tt9878404	\N	\N
tt9878408	\N	\N
tt9878410	\N	\N
tt9878412	nm8113473	nm8113473
tt9878414	nm0755728	nm0442736,nm0755728
tt9878416	nm2720109	nm0398981
tt9878418	nm2142911	nm2142911
tt9878420	\N	\N
tt9878422	nm6249581,nm1466864,nm7681617,nm7149401	nm6249581,nm1466864,nm7149401,nm8801969
tt9878424	\N	\N
tt9878426	\N	\N
tt9878428	\N	\N
tt9878430	\N	\N
tt9878432	\N	\N
tt9878434	\N	\N
tt9878436	\N	\N
tt9878438	\N	\N
tt9878440	\N	\N
tt9878442	\N	\N
tt9878444	nm10521744	nm10521744
tt9878446	\N	\N
tt9878448	\N	\N
tt9878450	\N	\N
tt9878452	\N	\N
tt9878454	\N	\N
tt9878456	\N	\N
tt9878458	nm1365435	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878460	nm0868524	nm0868524
tt9878462	\N	\N
tt9878464	\N	\N
tt9878466	nm5605371	\N
tt9878468	nm2928354	nm2928354
tt9878470	\N	\N
tt9878472	\N	\N
tt9878474	nm1365435	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878476	\N	\N
tt9878478	nm2187272	nm2187272
tt9878480	\N	\N
tt9878482	\N	\N
tt9878484	nm1365435	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878486	nm10521753	nm10521753
tt9878488	\N	\N
tt9878490	nm1365435	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878492	nm10521762	nm10521762
tt9878494	\N	\N
tt9878496	\N	\N
tt9878498	\N	\N
tt9878500	\N	\N
tt9878502	\N	\N
tt9878504	nm0208862	nm0208862,nm6160308
tt9878506	\N	\N
tt9878508	nm10521763	nm10521763
tt9878510	\N	\N
tt9878512	\N	\N
tt9878514	\N	\N
tt9878516	\N	\N
tt9878518	\N	\N
tt9878520	\N	\N
tt9878522	\N	\N
tt9878524	\N	\N
tt9878526	\N	\N
tt9878528	nm3218276,nm3723643	nm3218276,nm3723643
tt9878530	\N	\N
tt9878532	\N	\N
tt9878534	\N	\N
tt9878536	\N	\N
tt9878538	\N	\N
tt9878540	\N	\N
tt9878542	\N	\N
tt9878544	\N	\N
tt9878546	\N	\N
tt9878548	\N	\N
tt9878550	\N	\N
tt9878552	\N	\N
tt9878554	\N	\N
tt9878556	\N	\N
tt9878558	\N	\N
tt9878560	\N	\N
tt9878562	\N	\N
tt9878564	nm2142199	nm6194006,nm2174114,nm4012444,nm0810431,nm0935540,nm0792582,nm1440024,nm2344397,nm2443968,nm3292683,nm3696388,nm3733264,nm3996748,nm4492266,nm4706613,nm5086680,nm5619620,nm6236400,nm7018662,nm7580182,nm9650986
tt9878566	\N	\N
tt9878568	\N	\N
tt9878570	nm2142199	nm6194006,nm2174114,nm4012444,nm0810431,nm0935540,nm0792582,nm1440024,nm2344397,nm2443968,nm3292683,nm3696388,nm3733264,nm3996748,nm4492266,nm4706613,nm5086680,nm5619620,nm6236400,nm7018662,nm7580182,nm9650986
tt9878572	\N	\N
tt9878574	nm2142199,nm2774033	nm6194006,nm2174114,nm4012444,nm0810431,nm0935540,nm0792582,nm1440024,nm2344397,nm2443968,nm3292683,nm3696388,nm3733264,nm3996748,nm4492266,nm4706613,nm5086680,nm5619620,nm6236400,nm7018662,nm7580182,nm9650986
tt9878576	nm2142199	nm6194006,nm2174114,nm4012444,nm0810431,nm0935540,nm0792582,nm1440024,nm2344397,nm2443968,nm3292683,nm3696388,nm3733264,nm3996748,nm4492266,nm4706613,nm5086680,nm5619620,nm6236400,nm7018662,nm7580182,nm9650986
tt9878578	\N	\N
tt9878580	nm9025699	nm9025699
tt9878582	nm9835647	nm9835647
tt9878584	nm3218276,nm3723643	nm3218276,nm3723643
tt9878586	nm1318340	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878588	\N	\N
tt9878590	\N	\N
tt9878592	nm3218276,nm3723643	nm3218276,nm3723643
tt9878594	nm3218276,nm3723643	nm3218276,nm3723643
tt9878596	nm3218276,nm3723643	nm3218276,nm3723643
tt9878598	nm1598347	nm0257249,nm1635055
tt9878600	nm3218276,nm3723643	nm3218276,nm3723643
tt9878604	nm3218276,nm3723643	nm3218276,nm3723643
tt9878606	nm1318340	nm1190852,nm0033520,nm0067618,nm0547425,nm0995923,nm1319876,nm1721803
tt9878608	\N	\N
tt9878610	\N	\N
tt9878614	\N	\N
tt9878618	nm6999224	nm6999224
tt9878620	\N	\N
tt9878622	nm3233365	nm3233365
tt9878624	\N	\N
tt9878626	\N	\N
tt9878628	\N	\N
tt9878632	\N	\N
tt9878634	nm9091781	nm9091781
tt9878636	nm5680369	\N
tt9878638	nm5680369	\N
tt9878640	nm0343233	nm1143259,nm0343233,nm0555844
tt9878642	nm5680369	\N
tt9878644	nm5680369	\N
tt9878646	nm5680369	\N
tt9878648	\N	\N
tt9878650	nm9826284	nm10587346
tt9878652	\N	\N
tt9878654	\N	\N
tt9878656	\N	nm0169804
tt9878658	\N	\N
tt9878660	nm6505878,nm10521812	nm10521812
tt9878662	nm4195982	nm6568128,nm4195982
tt9878666	nm10521830,nm0555844,nm3340768	nm10521831,nm0555844,nm3340768
tt9878668	\N	\N
tt9878670	\N	\N
tt9878672	\N	\N
tt9878674	\N	\N
tt9878676	\N	\N
tt9878678	nm1600756	\N
tt9878680	nm9163913	nm9163913
tt9878682	nm2556224	\N
tt9878684	nm2732258,nm1710762,nm5979207,nm10119001	nm10521839
tt9878686	nm2556224	\N
tt9878688	nm13055571	nm13055571
tt9878690	nm13055571	nm13055571
tt9878692	nm2556224	\N
tt9878696	nm3462989	\N
tt9878698	nm8796534	\N
tt9878700	nm10521848,nm3725497,nm3203678	nm12286472,nm3203678
tt9878702	\N	\N
tt9878706	nm3462989	nm3462989,nm2780927
tt9878708	nm0517144	nm0517144
tt9878710	nm9747918	\N
tt9878712	nm4195982	nm4195982
tt9878714	nm8028272	\N
tt9878716	nm3462989	nm3462989
tt9878720	nm5229261	\N
tt9878722	nm9679627	nm10521890
tt9878724	nm3462989	nm3462989
tt9878728	\N	\N
tt9878730	\N	\N
tt9878732	nm16892634,nm10521904	nm10521904
tt9878734	\N	\N
tt9878736	\N	\N
tt9878738	nm1635450,nm1143161	nm1635450,nm1143161
tt9878740	\N	\N
tt9878742	\N	\N
tt9878744	\N	\N
tt9878746	nm10521913	nm10521914
tt9878748	\N	\N
tt9878750	\N	\N
tt9878752	\N	\N
tt9878754	nm0567912	nm0066851,nm0276882,nm0343442,nm3993100,nm1885450
tt9878756	\N	\N
tt9878758	\N	\N
tt9878760	\N	\N
tt9878762	\N	\N
tt9878766	nm0515472	nm0066851,nm0276882,nm0220754,nm3993100,nm1885450
tt9878768	\N	\N
tt9878770	\N	\N
tt9878772	\N	\N
tt9878774	\N	\N
tt9878776	\N	\N
tt9878778	\N	\N
tt9878780	\N	\N
tt9878782	\N	\N
tt9878784	\N	\N
tt9878786	\N	\N
tt9878788	\N	\N
tt9878790	\N	\N
tt9878792	\N	\N
tt9878796	\N	\N
tt9878798	\N	\N
tt9878800	\N	\N
tt9878802	\N	\N
tt9878804	\N	\N
tt9878806	\N	\N
tt9878808	nm7572288	\N
tt9878810	nm10521923	nm10521924,nm10521925
tt9878812	\N	\N
tt9878814	nm0555844	nm10521929,nm0555844
