nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm9983477	Lelia Green	\N	\N	\N	tt7762882
nm9983478	Adrian Scanlan	\N	\N	cinematographer	tt8720690
nm9983479	Stracina	\N	\N	costume_department	tt7141316,tt8629220,tt8610238
nm9983480	Brendan O'Malley	\N	\N	\N	tt2231696
nm9983481	Audray Julien	\N	\N	actress,miscellaneous	tt6130920
nm9983483	Frédérik Fournier	\N	\N	actor	tt9068542,tt35242821,tt30308502,tt8998584
nm9983484	Mathieu Gratien	\N	\N	actor	\N
nm9983485	Jonathan Leduc	\N	\N	actor	\N
nm9983488	Jonathan Malenfant	\N	\N	actor	\N
nm9983490	Simon Kingsbury	\N	\N	composer,actor	\N
nm9983492	Giulia Silberberger	1981	\N	\N	tt0465852,tt10037682,tt7304284,tt8720800
nm9983493	Ria den Breejen	\N	\N	\N	tt8720800
nm9983494	René Mahlstedt	\N	\N	\N	tt8720800
nm9983495	Jana Mahlstedt	\N	\N	\N	tt8720800
nm9983496	Sylvia Förster	\N	\N	producer	tt9675200,tt8720800
nm9983497	Jakob Rompkowski	\N	\N	animation_department	tt8720800
nm9983498	Colin Allen	\N	\N	\N	\N
nm9983499	Lillie Dickens	\N	\N	actress	tt3766354
nm9983500	Junior Cius	\N	\N	actor,writer,music_department	tt3766354,tt11563598,tt14840948,tt9302380
nm9983501	Wesley Pereira	\N	\N	actor	tt3766354
nm9983502	David Carrasquillo	\N	\N	actor	tt3766354
nm9983503	Nathaniel Chaney	\N	\N	actor	tt3766354
nm9983504	Tim Doherty	\N	\N	actor	tt3766354
nm9983506	Dana Waters	\N	\N	actress	tt4226848
nm9983507	Guillaume Lasvigne	\N	\N	writer	tt6256112
nm9983508	Shu Hui Teh	\N	\N	miscellaneous	tt8490838
nm9983511	Francesca Gentille	\N	\N	\N	\N
nm9983512	Kurt Ross	\N	\N	art_department,animation_department,camera_department	tt10613502,tt6780976
nm9983513	Jamie Dunaway	\N	\N	writer,actor,script_department	tt14214796,tt11126902,tt8111418,tt9353886
nm9983514	Josh Pamment-Barry	\N	\N	actor	tt5691114
nm9983516	Cheri Oneal	\N	\N	producer	tt6572484
nm9983517	Paul Oneal	\N	\N	producer	tt6572484
nm9983518	Melita Gavel	\N	\N	actress	tt8422030
nm9983519	Patrick Juozelenas	\N	\N	actor	tt8422030
nm9983520	Silvia Marazzani	\N	\N	actress	tt8422030
nm9983521	Michael Tupis	\N	\N	actor	tt8422030
nm9983522	Stephane Clerge	\N	\N	actor	tt8422030
nm9983523	Carlo Fumagalli	\N	\N	actor	tt8422030
nm9983524	Brandon McCallum	\N	\N	actor	tt8422030
nm9983525	Emma Clausen	\N	\N	costume_department,actress	tt8422030,tt11081102
nm9983526	Leon Medley Jr.	\N	\N	actor,miscellaneous	tt7772498,tt8422030
nm9983527	Mike Dressell	\N	\N	actor	tt8422030
nm9983528	Faith Vu Asis	\N	\N	actress	tt8422030
nm9983529	Ludovico Marazzani	\N	\N	director,writer,assistant_director	tt10945884,tt21200766,tt8422030
nm9983530	Matthew Leelapiyawat	\N	\N	camera_department	tt8422030
nm9983532	Mostafa Ghanbarizade	\N	\N	cinematographer,miscellaneous	tt7651250,tt21040940
nm9983533	Katherine Cruz	\N	\N	art_department	tt8717602
nm9983534	Guido Barendson	1951	\N	\N	tt0490719
nm9983535	Drusilla Caffarelli Gucci	\N	\N	\N	tt0435966,tt0490719
nm9983536	Maurizio Quilici	\N	\N	\N	tt0490719
nm9983537	Orazio La Rocca	\N	\N	writer	tt13779432,tt0490719
nm9983539	Becky Pick	\N	\N	actress	tt8710690
nm9983540	Maria Pomianowska	\N	\N	music_department,composer,soundtrack	tt0441074,tt6328648,tt1266731
nm9983541	Hiromi	\N	\N	\N	tt1147366
nm9983542	Michael Cash	\N	\N	producer	tt8447150
nm9983543	Samantha Snow	\N	\N	camera_department,art_department,actor	tt6483422,tt10493090,tt10378800,tt32199453
nm9983544	David Fell	\N	\N	actor	tt8707260,tt27121091
nm9983545	Aaron Price	\N	\N	actor	tt8707260
nm9983546	Zach Devereux	\N	\N	actor,stunts,production_manager	tt28087226,tt29942819,tt32516287,tt8707260
nm9983547	Yildiz Göngör	\N	\N	actress	tt7621276
